user_id,name,phone_number,city_id,zip_code
74,Salsabila Utama,+62-11-138-6130,3578,15251
75,Ratna Uyainah,+62-098-676-3352,3175,17495
76,Gamanto Sihombing,(0303) 299-5357,3573,18435
77,Puti Prastuti,+62-19-907-6068,1375,15908
78,Wadi Tarihoran,085 321 0247,3172,18068
79,Kani Megantara,+62-082-940-4048,6472,17756
80,Puji Uwais,(0592) 564-1022,3173,14431
81,Fitriani Marbun,(0734) 717-4724,3471,14475
82,Teddy Lestari,+62-0931-591-7166,6471,15623
83,Jasmin Pudjiastuti,+62-345-176-3853,5171,16351
84,Xanana Irawan,+62 (064) 723-3204,3173,15998
85,Prayoga Rahimah,+62 (0364) 178 3832,7371,17681
86,Darmaji Wacana,0834591442,5171,18986
87,Iriana Sitompul,(0603) 122-0809,7371,17412
88,Lukita Mahendra,(0900) 259-0471,1375,14405
89,Caket Firmansyah,+62 (093) 283-6830,6472,14190
90,Prayitna Thamrin,+62 (0037) 977 6900,3471,18536
91,Warta Utami,+62 (746) 403 9021,3578,14425
92,Ina Siregar,+62-875-163-1212,6472,16820
93,Yuliana Pradana,+62-0656-923-5845,3573,16137
94,Xanana Handayani,0876919010,3175,15739
95,Darmaji Purnawati,(0822) 937 5160,3578,16654
96,Timbul Yuniar,+62 (498) 219-2108,3175,19270
97,Danuja Dongoran,+62-950-660-0712,3171,14265
98,Naradi Laksmiwati,+62-015-763-9887,3174,17085
99,Heru Safitri,+62 (622) 535 0655,7371,18754
100,Irma Siregar,+62-277-811-7893,1371,15008
